#Please keep tags sorted alphabetically when you add/remove country tags

# Special countries...
REB 	= 	"countries/rebels.txt"

### NEW NATIONS MOD ###

###France Mod###
NZF		="countries/French New Zealand.txt"
FAS		="countries/French Australia.txt"
FCA		="countries/French Canada.txt"
ULA		="countries/Louisiana.txt"
UTI		="countries/Utility Tag.txt"
OCC		="countries/Occitania.txt"
ACA		="countries/Acadia.txt"
VIC 	="countries/Nationalist France.txt"
BOR		="countries/The Kingdom of France.txt"

##Terra Nova Nations
KRP		= "countries/Karapalk.txt"
KUL		= "countries/Kulob.txt"
LAS		= "countries/Bela.txt"
AJM		= "countries/Ajam.txt"
FRS		= "countries/Fars.txt"
ADU 	= "countries/Andalusia.txt"
JIM		= "countries/Jimma.txt"
BLE 	= "countries/Bale.txt"
NCA 	= "countries/New Catalonia.txt"
BBN 	= "countries/Baban.txt"
LON 	= "countries/Leon.txt"
CAS 	= "countries/Castile.txt"
FNS 	= "countries/Funfstadte.txt"
KTU 	= "countries/Katua.txt"
HMO 	= "countries/Hmong.txt"
STF 	= "countries/Setif.txt"
IRO 	= "countries/Iroquois.txt"
MIZ 	= "countries/Mizoram.txt"
TRP 	= "countries/Tripura.txt"
JAU 	= "countries/Jaunpur.txt"
SUE 	= "countries/Suez.txt"
ATT 	= "countries/Attock.txt"
ERI 	= "countries/Eritrea.txt"
DNG 	= "countries/Dangola.txt"
BTS 	= "countries/Barotseland.txt"
TSH 	= "countries/Chokwe.txt"
KUN 	= "countries/Kunduz.txt"
EIC 	= "countries/East India Company.txt"
STG 	= "countries/Sintang.txt"
PTK 	= "countries/Pontianak.txt"
ATL 	= "countries/Atlas.txt"
CZE 	= "countries/Czechia.txt"
OSN 	= "countries/Osnabruck.txt"
SDT 	= "countries/Sudetenland.txt"
MNR 	= "countries/Menumorut.txt"
VOJ 	= "countries/Vojvodina.txt"
NOG 	= "countries/Nogay.txt"
ADY		= "countries/Adygea.txt"
ODS		= "countries/Odessa.txt"
RMZ		= "countries/Ramazan.txt"
TAB		= "countries/Tabaristan.txt"
OWO		= "countries/Owo.txt"
SHS		= "countries/Shoshon.txt"
WIC		= "countries/Wichita.txt"
PUE		= "countries/Puebloa.txt"
CDD		= "countries/Caddo.txt"
CMC		= "countries/Comanche.txt"
OUA		= "countries/Ouargla.txt"
ALO		= "countries/Alaouita.txt"
AME		= "countries/Aramea.txt"
FOU		= "countries/Four Nations.txt"
MAG		= "countries/Magyaria.txt"
SMD		= "countries/Samoyedia.txt"
KET		= "countries/Ketia.txt"
BLG		= "countries/Bulagad.txt"
EVN		= "countries/Even.txt"
SBR		= "countries/Sibir.txt"
KHK		= "countries/Khakas.txt"
THU		= "countries/Thuringia.txt"
SWB		= "countries/Swabia.txt"
BCR		= "countries/WhiteCroatia.txt"
THR		= "countries/Three Leagues.txt"
TIC		= "countries/Ticino.txt"
BSL		= "countries/Basel.txt"
FRB		= "countries/Fribourg.txt"
BIE		= "countries/Biel.txt"
BNE		= "countries/Bern.txt"
ULM		= "countries/Ulm.txt"
KNS		= "countries/Konstanz.txt"
CYM		= "countries/Cymru.txt"
AUV		= "countries/Auvergne.txt"
AVA     = "countries/Avalon.txt"
NYS     = "countries/New Sweden.txt"
PIK     = "countries/Picchun.txt"
TRS     = "countries/Tarasco.txt"
QUI     = "countries/Quito.txt"
PAN     = "countries/Pannonia.txt"
TRY     = "countries/Transylvania.txt"
LIV     = "countries/Livonia.txt"
PLT     = "countries/Palatinate.txt"
CHR     = "countries/Charrua.txt"
GRI     = "countries/Guarani.txt"
BGY     = "countries/Burgundy.txt"
NRM     = "countries/Normandy.txt"
FRC     = "countries/Francia.txt"
FRK     = "countries/Franken.txt"
MAI     = "countries/Mainz.txt"
RIO     = "countries/Rioja.txt"
BRC     = "countries/Boruca.txt"
DUI     = "countries/Duisburg.txt"
UTR     = "countries/Utrecht.txt"
BRB     = "countries/Brabant.txt"
LIG     = "countries/Liege.txt"
IOU     = "countries/Iouhous.txt"
MUN     = "countries/Munster.txt"
FRI     = "countries/Frisia.txt"
HLL     = "countries/Holland.txt"
STY     = "countries/Styria.txt"
TST     = "countries/Tyrol.txt"
AVR     = "countries/Avaria.txt"
ALA     = "countries/Alania.txt"
BJK     = "countries/Berg-Julich-Kleve.txt"
KLE     = "countries/Kleveria.txt"
MID     = "countries/Midgardy.txt"
MIA     = "countries/Miami Company.txt"
ANA     = "countries/Anatolia.txt"
LUR     = "countries/Luristan.txt"
ANT     = "countries/Ionia.txt"
OSS     = "countries/Ossetia.txt"
ATH     = "countries/Athens.txt"
LAR     = "countries/Larissa.txt"
KZM     = "countries/Kazakmark.txt"
KOS     = "countries/Kosakenstadt.txt"
ORE     = "countries/Orenburg.txt"
SMS     = "countries/Samarastadt.txt"
YER     = "countries/Yeren.txt"
JIA     = "countries/Jianzhou.txt"
YUE     = "countries/Yue.txt"
EVE     = "countries/Evenkia.txt"
HNL     = "countries/Hansa.txt"
SEL     = "countries/Selonia.txt"
CUR     = "countries/Curonia.txt"
BLT     = "countries/Baltia.txt"
POM     = "countries/Pomerania.txt"
AAC     = "countries/Aachen.txt"
CLG     = "countries/Cologne.txt"
DOR     = "countries/Dortmund.txt"
TRR     = "countries/Trier.txt"
MET     = "countries/Metz.txt"
DNN     = "countries/Denmark-Norway.txt"
MOM     = "countries/Mombasa.txt"
SWA     = "countries/Swahilia.txt"
KIL     = "countries/Kilwa.txt"
SOF     = "countries/Sofala.txt"
BNY     = "countries/Bunyoro.txt"
KGW     = "countries/Karagwe.txt"
GSC     = "countries/Guscony.txt"
PRO     = "countries/Provence.txt"
EMI     = "countries/Emishi.txt"
AIN     = "countries/Ainu.txt"
CAP     = "countries/Cappadocia.txt"
TUA     = "countries/Tuareg.txt"
CHN     = "countries/Chenoua.txt"
GNV     = "countries/Geneva.txt"
WLS     = "countries/Wallis.txt"
RMD     = "countries/Romandy.txt"
ZUR     = "countries/Zurich.txt"
BRG     = "countries/Bregenz.txt"
MAR     = "countries/Maratha.txt"
AGN     = "countries/Aragon.txt"
DRU     = "countries/Druze.txt"
ASI     = "countries/Asir.txt"
UPE     = "countries/PrydainEire.txt"
GAE     = "countries/Gaeldom.txt"
JER     = "countries/Jerusalem.txt"
TDY     = "countries/Tainody.txt"
COP     = "countries/CopticEgypt.txt"
ALP     = "countries/Alpland.txt"
SLZ     = "countries/Salzburg.txt"
ILL     = "countries/Illyria.txt"
YOR     = "countries/Yoruba.txt"
ARW     = "countries/Arawak.txt"
BID     = "countries/Bida.txt"
ADW     = "countries/Adamawa.txt"
AKU     = "countries/Akura.txt"
IDA     = "countries/Idah.txt"
LME     = "countries/Lome.txt"
FUT     = "countries/Futa.txt"
KAN     = "countries/Kangaba.txt"
AOS     = "countries/Aosta.txt"
MLO     = "countries/Milan.txt"
SAL     = "countries/Saluzzo.txt"
MTF     = "countries/Montferrat.txt"
FER     = "countries/Ferrara.txt"
KRT     = "countries/Karnten.txt"
ANN     = "countries/Annan.txt"
DAN     = "countries/Da Nang.txt"
KHM     = "countries/Khmu.txt"
SSC     = "countries/Sip Song Chu.txt"
NST     = "countries/Nakhon Si Thammarat.txt"
BLK     = "countries/Balkaria.txt"
MRE     = "countries/Morea.txt"
AVK     = "countries/Ava.txt"
PRM     = "countries/Prome.txt"
LNN     = "countries/Lan Na.txt"
MLC     = "countries/Malacca.txt"
JOH     = "countries/Johor.txt"
PAG     = "countries/Pagaruyung.txt"
ALH     = "countries/Al-Hasa.txt"
NHL     = "countries/New Holland.txt"
HOK     = "countries/Hokoan.txt"
HSH     = "countries/Heshun.txt"
KGS     = "countries/Kongsi Federation.txt"
ZHO     = "countries/Zhou.txt"
MIN     = "countries/Ming.txt"
BRN     = "countries/Brandenburg.txt"
BNJ     = "countries/Banjar.txt"
SMK     = "countries/Samarkand.txt"
LUS     = "countries/Lusong.txt"
SOV     = "countries/Soviet Union.txt"
URM     = "countries/Urmia.txt"
TAL     = "countries/Talysh.txt"
AOM     = "countries/Aromania.txt"
BSK     = "countries/Bashkiria.txt"
PAL     = "countries/Palmyra.txt"
RIG     = "countries/Riga.txt"

##HFM New Nations
ADO		= "countries/Andorra.txt"
NIZ		= "countries/Nizza.txt"
LIE		= "countries/Liechtenstein.txt"
#MST	= "countries/Mecklenburg-Strelitz.txt"
WLD		= "countries/Waldeck.txt"
KHA		= "countries/Khalka.txt"
GUI		= "countries/Guizhou.txt"
LEG		= "countries/Legation Cities.txt"
NIA		= "countries/Nian.txt"
MIT		= "countries/Mittelafrika.txt"
AOG		= "countries/AOG.txt"
SDB		= "countries/Sonderbund.txt"
CRB		= "countries/Caribbean Federation.txt"
WSF 	= "countries/Zapadoslavia.txt"
DBR 	= "countries/Dobruya.txt"
RUM		= "countries/Rumania.txt"
SAM		= "countries/Samos.txt"
URP 	= "countries/United Principalities.txt" 
GCF 	= "countries/German Confederation.txt"
HRE 	= "countries/Holy Roman Empire.txt"
VLG 	= "countries/Volga.txt"
SMR		= "countries/San Marino.txt"
SAA 	= "countries/Saar.txt"
LAU 	= "countries/Lauenburg.txt"
MML 	= "countries/Memelland.txt"
HQJ		= "countries/Black Flag.txt"
