;;;;;;;;;;;;;;x,,,
faruqi_empire_title;The Legacy of Khandesh;;;;;;;;;;;;;x
faruqi_empire_desc;Khandesh, "Land of the Khans", was established in the 14th century when Malik Ahmad revolted against the old Bahmanid Empire. While only a minor territory of little note in its early days, the Faruqi Dynasty has managed to expand Khandesh at the expanse of the old Malwa Sultanate. Strategically located in central India, the Faruqids managed to fight off the resurgent Delhi Sultanate twice, preserving the independence of Khandesh for centuries. With the recent demise of the Sultanate, the time has come to lead Khandesh into a new age of glory!;;;;;;;;;;;;;x
faruqia_title;Abolish Gwalior and Rewa;;;;;;;;;;;;;x
faruqia_desc;The Princely States of Gwalior and Rewa seceded from the crumbling Delhi Sultanate in the early 19th century. Minor states with little legitimacy, we should abolish these titles for good.;;;;;;;;;;;;;x
become_egypt_title;Reform the Sultanate;;;;;;;;;;;;;x
become_egypt_desc;The Mamluk Sultanate has a long history reaching from an era of unquestioned hegemony and eventual stagnation to an unprecedented resurgence. Throughout all this time, Cairo remained unconquered, Egypt is our home. It is only fitting to reform the Sultanate into a proper Egyptian state, less defined by who rules it but rather by what it is. We shall adopt the official name of the Sultanate of Egypt.;;;;;;;;;;;;;x
adopt_standard_italian_title;Italian Language Policy;;;;;;;;;;;;;x
adopt_standard_italian_desc;With standard Italian having become widespread throughout most of Italy and with the increasing nationalist sentiment throughout the peninsula, we should decide our future linguistic policy to settle the matter once and for all.;;;;;;;;;;;;;x
pnj_unites_the_sikh_title;Unite the Misls;;;;;;;;;;;;;x
pnj_unites_the_sikh_desc;In the aftermath of the Delhi Sultanate's demise, the Sikhs in the Punjab mobilized and organized themselves into various communal armies, the so-called Misls. Under the leadership of the Sukerchakia, the Misls have successfully occupied Amritsar, Attock and Lahore, the ever glorious confederacy now stronger than ever. The time has come to truly unite all Sikhs under one banner and carry the true faith into the world!;;;;;;;;;;;;;x
pnj_invades_peshawar_title;Invade Peshawar;;;;;;;;;;;;;x
pnj_invades_peshawar_desc;The realms in the west are slowly dying, blinded by their own greed they have overextended themselves and now suffer the consequences for it. It is our chance to seize the mountain passes and tribal lands to secure our frontier against the Afghans. No longer shall any Pashtun power threaten our beautiful Punjab!;;;;;;;;;;;;;x
pnj_claims_greater_ladakh_title;The North-Eastern Frontier;;;;;;;;;;;;;x
pnj_claims_greater_ladakh_desc;The Celestrial Empire is failing. Anarchy is spreading in Kashgaria and we must act quickly to secure our frontier!;;;;;;;;;;;;;x
abolish_bahawalpur_title;Exile the Abbasi Khan;;;;;;;;;;;;;x
abolish_bahawalpur_desc;The Abbasi Clan has ruled the strategically located town of Bahawalpur since the middle of the 17th century. With the demise of the Delhi Sultanate, the Khans assumed independence entirely, threatening trade in the area and launching raids into the surrounding lands. With our conquest of the state, the time has come to exile the Abbasi and abolish Bahawalpur once and for all.;;;;;;;;;;;;;x
unite_the_rajputs_title;Unite the Rajputs;;;;;;;;;;;;;x
unite_the_rajputs_desc;The lands of Rajputana have fallen into a state of anarchy and civil war when the recent Delhi Sultanate collapsed. With a new force rising from Gaya in the east and from Punjab in the north, we must unite our brethren and mobilize the might of the Rajputs not only secure our independence but preserve Hindustan from certain barbarism as well.;;;;;;;;;;;;;x
unite_the_lunda_title;Form the Lunda State;;;;;;;;;;;;;x
unite_the_lunda_desc;The various Lunda states of the Chokwe and Kazambe have been divided for too long. With our new position as Hegemon over the southern steppes, we can unite the tribes and form a united Lunda State to secure a legacy for our people.;;;;;;;;;;;;;x
swedish_republican_formation_decision_title;The Swedish Republic;;;;;;;;;;;;;x
swedish_republican_formation_decision_desc;With the unexpected abdication of the King and the reactionary front dissolved, the time has come to formalize the formation of a new Nordic Republic!;;;;;;;;;;;;;x
welsh_schooling_act_title;Anglish Schooling Act;;;;;;;;;;;;;x
welsh_schooling_act_desc;"It is evident to all of us that the language of the Angles and Saxons is one of peasants, a language that is unable to insure communication even with the neighbouring village, incapable of expressing the modern world, a language only good enough to talk to cows and pigs. It is thus the duty of the state to teach those poor peasants a civilized tongue, to help eradicate this language that is a burden and the source of so much humiliation and shame, to integrate them so that they too may benefit from the prosperity that our nation enjoys. Thus we say: Dim Saesneg!";;;;;;;;;;;;;x
integrate_the_english_title;Embrace the Angles;;;;;;;;;;;;;x
integrate_the_english_desc;"The Angles were always an integral part of the British nation. We must not forgot their part, for it was the Anglishman who joined us in the rightful reconquest of the Danelag, for it was the Anglishman who joined us in the unification of the isles, for it was the Anglishman who fought and died at Calais for the greater good of the British nation. Without the effort and blood of our Germanic brothers, we would've have fallen to the barbarism of the Franks and Norse a long time ago, thus, independent of their tongue, they've earned the right to be treated as equals in the nation of all free men, the grand and glorious Nation of Prydain";;;;;;;;;;;;;x
kyo_centralize_government_title;Unite the Khanate;;;;;;;;;;;;;x
kyo_centralize_government_desc;The Mongol state of Kyoto has prevailed for many centuries, even outliving the mighty Yuan. Being the last heir of the once grand Mongol Empire, it is fully upon us to restore the order of Dschinghis Khan. We have to enact the necessary reforms to centralize our Khanate and put our country on a path of prosperity and greatness if we want the Mongol legacy to last.;;;;;;;;;;;;;x
form_ezo_title;Unite the Ainu;;;;;;;;;;;;;x
