;;;;;;;;;;;;;;x,,,
EVTNAME179200;A White Man's Paradise;;;;;;;;;;;;;;x,,,
EVTDESC179200;In 1788, the British Parliament passed the Abolition of Slavery Act which intended to drastically cut down on the international slave trade and to eventually completely eliminate slavery alltogether - As a result, the catholic Anglo-Saxon populace of Tainody, during the final phase of the Franco-British War, already discontent with the primarily protestant and Welsh speaking government on the isle, seized the oppertunity and seceded from the British Empire, declaring the Tainodyn Republic in 1792. With most of the royal navy occupied elsewhere, the young republic managed to topple the island's government and established a segregationist republic of the slave holding elite. With the new Parliament divided between various factions of whom some wish to reclaim the british isles for the angles while others wish to build a white man's nation abroad, the future remains open for Tainody...;;;;;;;;;;;;;;x,,,
EVTOPT179200A;Away far west in Tainody...;;;;;;;;;;;;;;x,,,
EVTNAME712406;A Pannonian Capital;;;;;;;;;;;;;;x,,,
EVTDESC712406;Visegrad has served us well in the past: located on a hill overseeing the upper danube, the fort remained a major Slavic stronghold for centuries. However, the surrounding valley is barely able to accomodate for the growing populace and the geography is less than optimal to support a major city. As a result, many in our governemt advocate to relocate furter south to the town of Vacija where the land is more flat and already more populated than in our current capital. Furthermore, its central location would allow us to govern our new territories more effectively as well.;;;;;;;;;;;;;;x,,,
EVTOPT712406A;Towars Vacija!;;;;;;;;;;;;;;x,,,
EVTOPT712406B;Visegrad has served us well in the past.;;;;;;;;;;;;;;x,,,
EVTNAME990000;The Golden Century;;;;;;;;;;;;;;x,,,
EVTDESC990000;Once the Hegemon of the Middle East, the Mamluk Sultanate stagnated during the late 15th century as Europeans discovered a new route to  India via the Cabo. The foundation of the V-E Suez Canal Company brought new life into the  Sultanate as the canal has resulted in a blooming Indo-Mediterranean Trade. Even overseas the Sultanate established new trade posts that flourish and cultivate the international trade. But this expansion has also brought in new ideas from abroad that threaten the very foundations of the Sultanate itself. Especially cities like Alexandria are heavily influenced by Venice and house large communities of constitutionalists who wish to reform Egypt into a modern nation state. The 18th century was undoubtedly one of prosperity, but it becomes clear that new conflicts start to emerge as the Sultan has to find a balanced approach between appeasing reformers and reactionaries  alike.;;;;;;;;;;;;;;x,,,
EVTOPT990000A;May Allah guide us.;;;;;;;;;;;;;;x,,,
EVTNAME990001;The Alexandrian Legation Quarters;;;;;;;;;;;;;;x,,,
EVTDESC990001;With trade flourishing in Alexandria, people from all over come to the city to engage in the commercial activities. The Venetians have a long history in Alexandria and have had their own Legation Quarters for almost three centuries now, but with an increasingly strong presence of Cymrians, French and Germans alike, the demand for the establishment of dedicated Legation Quarters for these foreigners has become rather strong. Establishing such may come at the dismay of the locals and venetians but could prove beneficial in further developing our international position.;;;;;;;;;;;;;;x,,,
EVTOPT990001A;They shall have their own quarters in the city.;;;;;;;;;;;;;;x,,,
EVTOPT990001B;We need no one but the Venetians.;;;;;;;;;;;;;;x,,,
EVTNAME990002;The Issue of Slavery;;;;;;;;;;;;;;x,,,
